time,UK_OFF
2010-01-01 00:00:00,0.5999
2010-01-01 01:00:00,0.6011
2010-01-01 02:00:00,0.5926
2010-01-01 03:00:00,0.5635
2010-01-01 04:00:00,0.5321
2010-01-01 05:00:00,0.4874
2010-01-01 06:00:00,0.4456
2010-01-01 07:00:00,0.3931
2010-01-01 08:00:00,0.354
2010-01-01 09:00:00,0.3227
2010-01-01 10:00:00,0.2944
2010-01-01 11:00:00,0.2847
2010-01-01 12:00:00,0.2731
2010-01-01 13:00:00,0.2689
2010-01-01 14:00:00,0.2655
2010-01-01 15:00:00,0.2736
2010-01-01 16:00:00,0.2863
2010-01-01 17:00:00,0.2939
2010-01-01 18:00:00,0.2848
2010-01-01 19:00:00,0.2704
2010-01-01 20:00:00,0.2404
2010-01-01 21:00:00,0.1896
2010-01-01 22:00:00,0.1764
2010-01-01 23:00:00,0.1547
2010-01-02 00:00:00,0.1476
2010-01-02 01:00:00,0.1594
2010-01-02 02:00:00,0.2269
2010-01-02 03:00:00,0.317
2010-01-02 04:00:00,0.3851
2010-01-02 05:00:00,0.4318
2010-01-02 06:00:00,0.4699
2010-01-02 07:00:00,0.4856
2010-01-02 08:00:00,0.4941
2010-01-02 09:00:00,0.4801
2010-01-02 10:00:00,0.5626
2010-01-02 11:00:00,0.4695
2010-01-02 12:00:00,0.3944
2010-01-02 13:00:00,0.3272
2010-01-02 14:00:00,0.2886
2010-01-02 15:00:00,0.2948
2010-01-02 16:00:00,0.3163
2010-01-02 17:00:00,0.3398
2010-01-02 18:00:00,0.397
2010-01-02 19:00:00,0.4868
2010-01-02 20:00:00,0.5178
2010-01-02 21:00:00,0.483
2010-01-02 22:00:00,0.5224
2010-01-02 23:00:00,0.4849
2010-01-03 00:00:00,0.4303
2010-01-03 01:00:00,0.42
2010-01-03 02:00:00,0.4259
2010-01-03 03:00:00,0.3999
2010-01-03 04:00:00,0.3637
2010-01-03 05:00:00,0.3288
2010-01-03 06:00:00,0.3014
2010-01-03 07:00:00,0.2704
2010-01-03 08:00:00,0.2435
2010-01-03 09:00:00,0.2154
2010-01-03 10:00:00,0.1715
2010-01-03 11:00:00,0.1175
2010-01-03 12:00:00,0.0868
2010-01-03 13:00:00,0.0726
2010-01-03 14:00:00,0.0748
2010-01-03 15:00:00,0.0797
2010-01-03 16:00:00,0.0882
2010-01-03 17:00:00,0.0921
2010-01-03 18:00:00,0.0868
2010-01-03 19:00:00,0.0756
2010-01-03 20:00:00,0.0693
2010-01-03 21:00:00,0.0707
2010-01-03 22:00:00,0.0694
2010-01-03 23:00:00,0.0717
2010-01-04 00:00:00,0.084
2010-01-04 01:00:00,0.1039
2010-01-04 02:00:00,0.1263
2010-01-04 03:00:00,0.1475
2010-01-04 04:00:00,0.1885
2010-01-04 05:00:00,0.23
2010-01-04 06:00:00,0.2592
2010-01-04 07:00:00,0.278
2010-01-04 08:00:00,0.3022
2010-01-04 09:00:00,0.3238
2010-01-04 10:00:00,0.354
2010-01-04 11:00:00,0.3479
2010-01-04 12:00:00,0.346
2010-01-04 13:00:00,0.3395
2010-01-04 14:00:00,0.3276
2010-01-04 15:00:00,0.3125
2010-01-04 16:00:00,0.3073
2010-01-04 17:00:00,0.2935
2010-01-04 18:00:00,0.3031
2010-01-04 19:00:00,0.3315
2010-01-04 20:00:00,0.3478
2010-01-04 21:00:00,0.3594
2010-01-04 22:00:00,0.4322
2010-01-04 23:00:00,0.4248
2010-01-05 00:00:00,0.4107
2010-01-05 01:00:00,0.419
2010-01-05 02:00:00,0.3959
2010-01-05 03:00:00,0.3438
2010-01-05 04:00:00,0.2855
2010-01-05 05:00:00,0.2653
2010-01-05 06:00:00,0.2687
2010-01-05 07:00:00,0.2735
2010-01-05 08:00:00,0.2774
2010-01-05 09:00:00,0.291
2010-01-05 10:00:00,0.2838
2010-01-05 11:00:00,0.3057
2010-01-05 12:00:00,0.2928
2010-01-05 13:00:00,0.2854
2010-01-05 14:00:00,0.2961
2010-01-05 15:00:00,0.2962
2010-01-05 16:00:00,0.294
2010-01-05 17:00:00,0.2862
2010-01-05 18:00:00,0.2813
2010-01-05 19:00:00,0.2954
2010-01-05 20:00:00,0.3299
2010-01-05 21:00:00,0.3686
2010-01-05 22:00:00,0.3886
2010-01-05 23:00:00,0.4328
2010-01-06 00:00:00,0.4387
2010-01-06 01:00:00,0.4182
2010-01-06 02:00:00,0.3998
2010-01-06 03:00:00,0.3846
2010-01-06 04:00:00,0.3859
2010-01-06 05:00:00,0.4036
2010-01-06 06:00:00,0.4642
2010-01-06 07:00:00,0.48
2010-01-06 08:00:00,0.4691
2010-01-06 09:00:00,0.4703
2010-01-06 10:00:00,0.4586
2010-01-06 11:00:00,0.4499
2010-01-06 12:00:00,0.4376
2010-01-06 13:00:00,0.4455
2010-01-06 14:00:00,0.4417
2010-01-06 15:00:00,0.4407
2010-01-06 16:00:00,0.4476
2010-01-06 17:00:00,0.462
2010-01-06 18:00:00,0.4854
2010-01-06 19:00:00,0.4951
2010-01-06 20:00:00,0.4783
2010-01-06 21:00:00,0.4611
2010-01-06 22:00:00,0.5285
2010-01-06 23:00:00,0.4847
2010-01-07 00:00:00,0.4513
2010-01-07 01:00:00,0.4287
2010-01-07 02:00:00,0.4117
2010-01-07 03:00:00,0.4034
2010-01-07 04:00:00,0.405
2010-01-07 05:00:00,0.3925
2010-01-07 06:00:00,0.3814
2010-01-07 07:00:00,0.3622
2010-01-07 08:00:00,0.3606
2010-01-07 09:00:00,0.3686
2010-01-07 10:00:00,0.363
2010-01-07 11:00:00,0.35
2010-01-07 12:00:00,0.3265
2010-01-07 13:00:00,0.306
2010-01-07 14:00:00,0.2747
2010-01-07 15:00:00,0.2472
2010-01-07 16:00:00,0.2209
2010-01-07 17:00:00,0.2199
2010-01-07 18:00:00,0.2376
2010-01-07 19:00:00,0.2667
2010-01-07 20:00:00,0.2665
2010-01-07 21:00:00,0.2492
2010-01-07 22:00:00,0.237
2010-01-07 23:00:00,0.2286
2010-01-08 00:00:00,0.2028
2010-01-08 01:00:00,0.1812
2010-01-08 02:00:00,0.1903
2010-01-08 03:00:00,0.2144
2010-01-08 04:00:00,0.236
2010-01-08 05:00:00,0.2565
2010-01-08 06:00:00,0.2622
2010-01-08 07:00:00,0.2648
2010-01-08 08:00:00,0.2795
2010-01-08 09:00:00,0.3008
2010-01-08 10:00:00,0.2962
2010-01-08 11:00:00,0.2751
2010-01-08 12:00:00,0.2513
