order,AIC
"(2,0,2)",-2218.646664173047
"(2,0,3)",-2218.091273578737
"(4,0,1)",-2217.4786261046684
"(2,0,4)",-2216.06610477483
"(5,0,1)",-2216.0125101382414
"(1,0,5)",-2215.0277799576093
"(3,0,3)",-2214.6668609469402
"(4,0,3)",-2214.4851612268744
"(3,0,4)",-2214.312266642536
"(1,0,4)",-2213.7929456747706
"(5,0,2)",-2213.529067475571
"(3,0,1)",-2213.5240258063977
"(3,0,5)",-2212.069197532286
"(2,0,5)",-2211.314428362267
"(5,0,4)",-2210.924015192275
"(4,0,5)",-2210.109290173855
"(4,0,2)",-2209.663961455026
"(5,0,3)",-2208.2453312576986
"(5,0,5)",-2207.2273252472914
"(4,0,4)",-2202.3998678149364
"(1,0,3)",-2197.2531239639366
"(1,1,2)",-2195.9449985077035
"(1,1,3)",-2195.919598313004
"(2,1,2)",-2195.784034107741
"(3,1,1)",-2195.431279863522
"(1,1,4)",-2193.9198394746445
"(3,1,2)",-2193.902521670449
"(4,1,1)",-2193.790276276647
"(0,1,5)",-2192.1824985271383
"(2,1,4)",-2192.0469792180943
"(3,1,3)",-2191.9794205889543
"(2,1,3)",-2191.9452348983814
"(5,1,1)",-2191.8957498493837
"(4,1,2)",-2191.485107476563
"(2,1,1)",-2190.5875036562907
"(2,1,5)",-2190.0905114581255
"(0,1,4)",-2190.0055898420046
"(3,1,4)",-2189.9401396994267
"(3,0,2)",-2189.836222458282
"(5,1,2)",-2189.8040079685566
"(4,1,3)",-2189.513858045528
"(5,1,3)",-2188.841309808994
"(3,1,5)",-2188.121581600456
"(1,1,5)",-2187.5374025974606
"(4,1,4)",-2186.8245780243246
"(5,1,5)",-2185.8842464072613
"(4,1,5)",-2185.6437058671113
"(5,1,4)",-2182.352827662278
"(2,2,4)",-2174.4495168529065
"(0,2,5)",-2173.06569530301
"(0,1,3)",-2169.854758189839
"(3,2,3)",-2168.1352702595113
"(2,2,2)",-2164.1460147423013
"(5,2,5)",-2163.711480769115
"(5,2,4)",-2163.186042434012
"(1,1,1)",-2154.028950913059
"(0,2,4)",-2153.2094133157725
"(1,2,5)",-2149.348653266382
"(1,2,3)",-2147.9027933933226
"(1,0,2)",-2146.476539314319
"(5,0,0)",-2143.303457922886
"(4,0,0)",-2133.3232762980215
"(3,2,4)",-2132.8965534868476
"(3,0,0)",-2127.8281965265523
"(4,2,4)",-2122.842575768207
"(2,0,1)",-2102.5197307365725
"(1,0,1)",-2091.5310113466994
"(2,0,0)",-2088.7929158443194
"(4,2,5)",-2086.61845559229
"(1,0,0)",-2084.555074877498
"(0,0,5)",-2079.3473836669755
"(0,1,2)",-2070.3617287682246
"(0,0,4)",-2059.898459275577
"(2,2,3)",-2055.5815713733664
"(0,2,3)",-2054.2470930042086
"(1,2,4)",-2051.1902673617487
"(0,0,3)",-2025.4163375031478
"(2,2,5)",-2020.3993844126562
"(0,0,2)",-1938.5641987093063
"(5,1,0)",-1852.5788661921029
"(5,2,1)",-1839.2810848281497
"(5,2,2)",-1804.6983286962695
"(4,1,0)",-1800.4511370645682
"(4,2,1)",-1787.3807352550718
"(3,1,0)",-1711.839081063736
"(5,2,3)",-1709.9062822883752
"(3,2,1)",-1699.0741474092845
"(4,2,2)",-1695.8484030007985
"(0,0,1)",-1679.1757906244666
"(3,2,5)",-1656.0935291041928
"(3,2,2)",-1623.0380051356713
"(2,1,0)",-1610.2145503107827
"(4,2,3)",-1606.7134621135667
"(2,2,1)",-1597.771677869699
"(0,1,1)",-1473.7526304715536
"(0,2,2)",-1461.1173442556656
"(1,1,0)",-1345.945699089602
"(1,2,1)",-1334.0189419797352
"(0,2,1)",-1236.5084393765885
"(1,2,2)",-1232.515057606675
"(5,2,0)",-607.5277824144432
"(4,2,0)",-371.99989692366233
"(3,2,0)",-48.94481404765164
"(2,2,0)",370.7076233954743
"(1,2,0)",1113.6241431051283
